City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Ponta Do Sol,PT,32.6667,-17.1,72.01,90,61,8.59,light rain
80,Airai,TL,-8.9266,125.4092,77.68,48,100,2.26,overcast clouds
81,Lata,PT,40.1629,-8.3327,60.08,95,6,4.63,clear sky
82,Itoman,JP,26.1247,127.6694,80.62,50,40,13.8,scattered clouds
83,Agirish,RU,61.9247,63.0231,25.77,80,21,5.28,few clouds
84,Hasaki,JP,35.7333,140.8333,65.21,53,83,28.86,broken clouds
85,Saurimo,AO,-9.6608,20.3916,63.75,93,68,0.6,light rain
86,Tarangnan,PH,11.9009,124.7459,82.71,86,100,10.4,moderate rain
87,Souillac,MU,-20.5167,57.5167,73.71,75,14,12.57,light rain
88,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,100,100,3.44,mist
89,Cabo San Lucas,MX,22.8909,-109.9124,78.1,70,2,6.4,clear sky
90,Kaeo,NZ,-35.1,173.7833,67.32,67,28,7.27,scattered clouds
91,Adrar,MR,20.5022,-10.0711,74.3,17,76,10.2,broken clouds
92,Georgetown,MY,5.4112,100.3354,85.89,77,20,9.22,few clouds
93,Mulege,MX,26.8833,-111.9833,71.64,51,3,3.4,clear sky
94,Nortelandia,BR,-14.4547,-56.8028,76.17,79,31,4.16,scattered clouds
95,Coxim,BR,-18.5067,-54.76,78.42,42,0,3.89,clear sky
96,Richards Bay,ZA,-28.783,32.0377,70.97,82,99,15.73,overcast clouds
97,Mehamn,NO,71.0357,27.8492,33.75,86,20,16.11,few clouds
98,Sibolga,ID,1.7427,98.7792,82.85,74,85,3.15,overcast clouds
99,Erdenet,MN,49.0333,104.0833,26.89,66,12,5.59,few clouds
100,Broken Hill,AU,-31.95,141.4333,75.85,35,56,14.12,broken clouds
101,Torres,BR,-29.3353,-49.7269,65.82,92,42,8.28,scattered clouds
102,Hilo,US,19.7297,-155.09,77.25,80,20,4.61,few clouds
103,Bredasdorp,ZA,-34.5322,20.0403,60.84,77,100,10.83,overcast clouds
104,Yar-Sale,RU,66.8333,70.8333,19.47,96,91,8.05,overcast clouds
105,Weihai,CN,37.5017,122.1136,62.08,50,100,10.89,overcast clouds
106,Eureka,US,40.8021,-124.1637,48.92,93,25,5.08,scattered clouds
107,Ancud,CL,-41.8697,-73.8203,51.12,93,92,12.19,light rain
108,East London,ZA,-33.0153,27.9116,64.15,70,100,7.63,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,82.53,73,45,11.61,scattered clouds
110,Vyazemskiy,RU,47.5378,134.7525,50.58,48,89,6.15,overcast clouds
111,Rocha,UY,-34.4833,-54.3333,56.19,91,85,10.58,overcast clouds
112,Fairbanks,US,64.8378,-147.7164,22.82,79,20,10.36,few clouds
113,New Norfolk,AU,-42.7826,147.0587,60.91,79,100,4.29,overcast clouds
114,Gushikawa,JP,26.3544,127.8686,79.83,53,100,18.41,overcast clouds
115,Husavik,IS,66.0449,-17.3389,36.91,97,100,7.05,overcast clouds
116,Bikin,RU,46.8161,134.26,49.3,55,80,9.17,broken clouds
117,Priargunsk,RU,50.3691,119.1012,39.6,25,0,9.75,clear sky
118,Mahanoro,MG,-19.9,48.8,74.77,68,76,9.46,broken clouds
119,Mackenzie,CA,55.2999,-123.1698,35.82,93,100,8.05,light rain
120,Upernavik,GL,72.7868,-56.1549,23.04,96,100,2.95,light snow
121,Hermanus,ZA,-34.4187,19.2345,59.81,81,100,12.12,overcast clouds
122,Pangody,RU,65.85,74.4859,18.37,91,88,7.43,overcast clouds
123,Cidreira,BR,-30.1811,-50.2056,65.12,86,3,22.59,clear sky
124,Rubiataba,BR,-15.1644,-49.8033,70.43,84,23,1.83,few clouds
125,Kenai,US,60.5544,-151.2583,31.14,97,100,16.11,snow
126,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,71,0,8.99,clear sky
127,Felanitx,ES,39.4696,3.1483,70.14,58,96,3.71,overcast clouds
128,Namatanai,PG,-3.6667,152.4333,85.46,65,94,4.29,light rain
129,Zhanakorgan,KZ,43.9098,67.2495,49.89,79,100,12.37,overcast clouds
130,Clyde River,CA,70.4692,-68.5914,-0.8,89,37,3.42,scattered clouds
131,Ihosy,MG,-22.4,46.1167,71.71,70,71,4.05,broken clouds
132,Vestmannaeyjar,IS,63.4427,-20.2734,45.03,85,100,24.61,overcast clouds
133,Torbay,CA,47.6666,-52.7314,55.49,89,53,4.0,broken clouds
134,Warri,NG,5.5167,5.75,74.12,95,100,2.33,overcast clouds
135,Viedma,AR,-40.8135,-62.9967,58.89,89,100,5.08,overcast clouds
136,Dali,CN,25.7,100.1833,60.76,92,100,4.9,overcast clouds
137,Povenets,RU,62.8487,34.8262,35.37,78,100,10.31,overcast clouds
138,Najran,SA,17.4924,44.1277,67.71,21,0,1.1,clear sky
139,Malaruhatan,PH,14.0306,120.6804,87.15,64,72,13.51,broken clouds
140,Nushki,PK,29.5542,66.0215,74.23,17,1,2.17,clear sky
141,Poronaysk,RU,49.2167,143.1167,51.46,56,22,15.77,few clouds
142,San Lorenzo,PY,-25.3333,-57.5333,74.34,60,0,5.75,clear sky
143,Hit,IQ,33.6416,42.8251,69.85,21,52,6.67,broken clouds
144,Kashi,CN,39.4547,75.9797,56.21,26,70,3.69,broken clouds
145,Mecca,SA,21.4267,39.8261,79.9,62,19,2.57,few clouds
146,Cockburn Town,TC,21.4612,-71.1419,79.14,72,100,2.86,moderate rain
147,Machico,PT,32.7,-16.7667,72.01,90,40,9.22,light rain
148,Lagoa,PT,39.05,-27.9833,62.6,68,58,25.81,light rain
149,Altar,MX,30.7,-111.8167,67.14,19,0,4.54,clear sky
150,Miramar,US,25.9873,-80.2323,77.99,69,0,3.44,clear sky
151,San Miguelito,PA,9.0333,-79.5,78.89,88,100,3.06,light rain
152,Flinders,AU,-34.5833,150.8552,82.18,52,26,8.99,scattered clouds
153,Ahipara,NZ,-35.1667,173.1667,64.67,57,63,8.75,broken clouds
154,Port Elizabeth,ZA,-33.918,25.5701,62.31,87,100,1.99,overcast clouds
155,Hay River,CA,60.8156,-115.7999,28.36,86,100,12.66,light snow
156,Les Cayes,HT,18.2,-73.75,76.33,79,6,2.51,clear sky
157,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.96,86,6,8.68,clear sky
158,Panalingaan,PH,8.7842,117.4231,83.07,76,100,3.09,overcast clouds
159,Saint-Philippe,RE,-21.3585,55.7679,76.59,70,16,13.0,few clouds
160,Vila Velha,BR,-20.3297,-40.2925,71.55,94,75,2.3,broken clouds
161,Bodrum,TR,37.0383,27.4292,65.68,45,0,3.24,clear sky
162,Montana,BG,43.4125,23.225,58.89,65,1,2.13,clear sky
163,Raga,SS,8.4596,25.678,68.41,66,100,0.22,overcast clouds
164,Chekhov,RU,55.1431,37.4711,30.15,90,75,6.6,broken clouds
165,Karratha,AU,-20.7377,116.8463,91.74,18,0,15.1,clear sky
166,Nemuro,JP,43.3236,145.575,47.79,58,56,12.35,broken clouds
167,Fortuna,US,40.5982,-124.1573,48.65,98,0,5.75,clear sky
168,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.68,87,99,0.96,overcast clouds
169,Panjakent,TJ,39.4952,67.6093,50.97,80,19,5.79,few clouds
170,Winnemucca,US,40.973,-117.7357,43.52,39,25,2.44,scattered clouds
171,Griffith,US,41.5284,-87.4237,52.05,96,100,16.11,heavy intensity rain
172,Anadyr,RU,64.75,177.4833,7.3,84,0,6.71,clear sky
173,Muroto,JP,33.2833,134.15,64.36,47,0,4.07,clear sky
174,Manthani,IN,18.65,79.6667,75.51,63,0,4.27,clear sky
175,Bom Jesus Da Lapa,BR,-13.255,-43.4181,71.4,87,93,3.06,overcast clouds
176,Jiuquan,CN,39.7432,98.5174,51.17,28,0,6.8,clear sky
177,Coihaique,CL,-45.5752,-72.0662,47.01,97,100,4.27,overcast clouds
178,Basco,PH,20.4487,121.9702,78.55,67,100,23.67,overcast clouds
179,Aklavik,CA,68.2191,-135.0107,5.81,97,86,6.73,overcast clouds
180,Sola,VU,-13.8833,167.55,80.37,72,10,1.3,clear sky
181,Prado,BR,-17.3411,-39.2208,71.1,92,5,3.47,clear sky
182,Hamilton,US,39.1834,-84.5333,62.08,93,100,8.05,mist
183,Kikwit,CD,-5.041,18.8162,67.95,99,88,1.9,overcast clouds
184,Kushmurun,KZ,52.4503,64.6311,33.55,99,100,7.49,snow
185,Mastic Beach,US,40.7668,-72.8521,65.48,97,100,4.0,fog
186,Ust-Kuyga,RU,70.0167,135.6,18.59,89,100,9.42,overcast clouds
187,Itarema,BR,-2.9248,-39.9167,78.06,76,100,13.02,overcast clouds
188,Kruisfontein,ZA,-34.0033,24.7314,57.88,86,100,6.08,overcast clouds
189,Ketchikan,US,55.3422,-131.6461,37.87,93,40,3.44,scattered clouds
