City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
125,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
129,Port Alfred,ZA,67.01,clear sky,-33.5906,26.891,The Halyards Hotel & Spa
131,Rancho Palos Verdes,US,75.76,clear sky,33.7445,-118.387,Terranea Resort
132,Bossangoa,CF,70.47,overcast clouds,6.4926,17.4552,Hotel du tourisme
134,Hithadhoo,MV,82.31,broken clouds,-0.6,73.0833,Scoop Guest House
136,Presidencia Roque Saenz Pena,AR,79.59,clear sky,-26.7852,-60.4388,Hotel Gualok
137,Codrington,AU,63.32,overcast clouds,-38.2667,141.9667,
145,Fontem,CM,65.57,light rain,5.4685,9.8818,Vista Palace Hotel
148,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
149,Fortuna,US,62.92,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
150,Lata,PT,62.08,overcast clouds,40.1629,-8.3327,Casa Maquia
151,Saint George,US,60.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
152,Port Keats,AU,87.89,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
154,Victoria,HK,75.38,scattered clouds,22.2855,114.1577,Mini Central
156,Mayfield,US,71.35,clear sky,36.7417,-88.6367,Super 8 by Wyndham Mayfield
157,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
160,Ponta Do Sol,PT,72.01,light rain,32.6667,-17.1,Hotel do Campo
161,Kualakapuas,ID,78.78,overcast clouds,-3.0091,114.3876,Guest House Izonk
162,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
164,Lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
165,Brownwood,US,66.2,scattered clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
166,Kavali,IN,73.09,clear sky,14.9167,79.9833,Hotel Mourya Paradise
169,Pecos,US,61.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
170,Kununurra,AU,93.18,few clouds,-15.7667,128.7333,Hotel Kununurra
172,Mayumba,GA,74.88,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
175,Pawai,IN,63.16,clear sky,24.2667,80.1667,J.P Pandey Sachiv
176,Biak,ID,82.26,broken clouds,-0.9131,122.8766,Penginapan Kim
177,Kapoeta,SS,77.16,scattered clouds,4.7717,33.5903,Lokoges PHCC
178,Samarai,PG,83.35,few clouds,-10.6167,150.6667,Nuli Sapi
180,Dilla,ET,61.92,light rain,6.41,38.31,Afomiya Pension
181,Kaihua,CN,60.03,scattered clouds,23.3687,104.28,Zhongyu Hotel
185,Bloomsburg,US,61.11,overcast clouds,41.0037,-76.4549,Hampton Inn Bloomsburg
187,Quang Ngai,VN,76.93,overcast clouds,15.1167,108.8,Central Hotel
188,Dzaoudzi,YT,76.89,broken clouds,-12.7887,45.2699,Le Rocher
189,Bo Phloi,TH,75.36,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
196,Gustavo Diaz Ordaz,MX,85.01,broken clouds,26.2333,-98.5833,Suites arael
197,Souillac,MU,68.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
199,Butaritari,KI,81.64,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
204,Omboue,GA,73.56,overcast clouds,-1.5746,9.2618,Hotel Olako
205,Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
208,Miandrivazo,MG,76.86,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
211,Balkanabat,TM,60.93,broken clouds,39.5108,54.3671,Nebitchi Hotel
214,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
215,Pimenta Bueno,BR,73.26,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
217,Thinadhoo,MV,81.68,scattered clouds,0.5333,72.9333,
219,Sterling,US,62.24,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
222,Kruisfontein,ZA,63.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
223,Bilma,NE,76.89,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
224,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
227,Durango,MX,64.89,overcast clouds,24.8333,-104.8333,
230,Muli,MV,81.16,broken clouds,2.9167,73.5667,Medhufushi Island Resort
232,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
233,Farafangana,MG,70.02,few clouds,-22.8167,47.8333,Miarina
235,Bowen,AU,82.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
236,Celestun,MX,80.58,overcast clouds,20.8667,-90.4,Posada Lilia
238,Pekalongan,ID,79.95,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
239,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
240,Yulara,AU,70.23,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
241,Wad Rawah,SD,81.16,few clouds,15.1603,33.1397,حوش جلي ودراوة
243,Tautira,PF,78.19,light rain,-17.7333,-149.15,Pension Oaoa
244,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
250,Manthani,IN,63.59,clear sky,18.65,79.6667,"Sri Sai bike Paint,manthani"
251,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,hotel la terminal
252,Rochester,US,60.58,clear sky,43.1548,-77.6156,Hyatt Regency Rochester
254,Bermeo,ES,68.49,broken clouds,43.4209,-2.7215,Eco-Hotel Mundaka
255,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
256,Pasaje,EC,71.31,overcast clouds,-3.3333,-79.8167,Finca Huaylala
258,Guerrero Negro,MX,75.45,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
259,Bokoro,TD,84.04,scattered clouds,12.3807,17.0568,
261,Lorengau,PG,85.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
263,Sambava,MG,66.74,clear sky,-14.2667,50.1667,Melrose
264,Nalut,LY,66.24,clear sky,30.3333,10.85,
265,Banes,CU,76.17,clear sky,20.9625,-75.7186,Hostal Iván y yailet
266,Hobyo,SO,78.94,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
269,Muros,ES,61.68,moderate rain,42.7762,-9.0603,Apartment Av. Castelao
271,Faya,SA,62.71,clear sky,18.3851,42.4509,شيلة نسايم
